question,answer
കേരളത്തില്‍ യോജിച്ച കൂണ്‍ ഇനങ്ങള്‍ എവിടെ?,"കേരളത്തിലേയ്ക്ക് യോജിച്ച രണ്ടിനങ്ങളാണ് ചിപ്പിക്കൂണും, വയ്‌ക്കോല്‍ കൂണും. ഇതില്‍ ചിപ്പിക്കൂണാണ് വ്യാവസായികാടിസ്ഥാനത്തില്‍ കൃഷിചെയ്യാന്‍ കൂടുതല്‍ അനുയോജ്യം."
വൈക്കോല്‍ കൂണിന്റെ പ്രത്യേകത എന്താണ്?,"വൈക്കോല്‍ കൂണ്‍ വോള്‍വേറിയല്ല ജനുസ്‍ത്തിൽപ്പെട്ട ഇനമാണ്. ഈ ഇനം, പച്ചക്കറികളുടെ പോഷകമൂല്യങ്ങൾക്കൊപ്പം തന്നെ, പോഷകവിശേഷതകൾക്കായി അറിയപ്പെടുന്നു."
കൂണ്‍ എങ്ങനെ ഒരു ഉത്തമ ആഹാരവസ്തുവായാണ് അംഗീകരിക്കപ്പെട്ടിരിക്കുന്നത്?,"കൂണ്‍ പച്ചക്കറികളുമായി താരതമ്യപ്പെടുത്തുമ്പോള്‍ അതിന്റെ പോഷകമൂല്യങ്ങള്‍ കൂടുതലാണ്. അതിനാൽ, മാംസ്യം, കൊഴുപ്പ് എന്നിവയിലുള്ള സമൃദ്ധത കുറഞ്ഞതിന്റെ പേരില്‍, പ്രമേഹം പോലുള്ള അസുഖങ്ങൾ ബാധിച്ചവർക്കും ഒരു നല്ല ആഹാരവസ്തുവായാണ് ശുപാർശ ചെയ്യപ്പെടുന്നത്."
കൂണ്‍ കൃഷിയില്‍ എങ്ങനെ സ്‌പോ ലഭ്യമാക്കാം?,"കൂണ്‍ കൃഷിയില്‍ പ്രസക്തമായ സ്‌പോ (വിത്ത്) ലഭ്യമാക്കുന്നത് ഏറ്റവും പ്രധാനം. സ്‌പോ എന്ന വാക്ക്, കൃഷിക്ക് ആവശ്യമായ വിത്തിനെ അടിസ്ഥാനമാക്കിയാണ് ഉപയോഗിക്കുന്നത്. വിശ്വാസയോഗ്യമായ ഒരു സ്ഥലത്തു നിന്ന് ഈ സ്പോ വാങ്ങുക."
ചിപ്പിക്കൂണ്‍ വളര്‍ത്താന്‍ എങ്ങനെ geschikte സ്ഥലവും വഴി ലഭിക്കാമെന്ന്?,"ചിപ്പിക്കൂണ്‍ കൃഷി ചെയ്യാന്‍ ഏറ്റവും അനുയോജ്യമായ സ്ഥലം അതായത്, പോളിത്തീന്‍ കവറുകളുള്ള ചെറിയ മുറി (100 ച. അടി) ഉപയോഗിച്ചാണ് കൃഷി ചെയ്യേണ്ടത്. ഈ മുറിക്കു ചുറ്റും രണ്ടീ വീതിയുള്ള തട്ടുകള്‍ ഒരുക്കണം, നല്ല വായുസഞ്ചാരം നിലനിര്‍ത്തണം, കൂടാതെ നല്ല ഈര്‍പ്പവും ഉണ്ടാകണം."
ചിപ്പിക്കൂണ്‍ വളര്‍ത്താനുള്ള വളര്‍ച്ചയ്ക്ക് ഉപയോഗിക്കുന്ന പോളിത്തീന്‍ കവറിന്റെ വലിപ്പം എത്ര?,ചിപ്പിക്കൂണ്‍ കൃഷിക്കുള്ള പോളിത്തീന്‍ കവറിന്റെ വലിപ്പം 25 സെ. മീ. വ്യാസവും 60 സെ. മീ. നീളവും ഉള്ളതായിരിക്കണം.
ചിപ്പിക്കൂണ്‍ കൃഷി ചെയ്യുമ്പോള്‍ വൈക്കോല്‍ എങ്ങനെ ഉപയോഗിക്കണം?,"വൈക്കോല്‍ ചെറുകഷണങ്ങളായി (5 - 10 സെ. മീ.) മുറിച്ച്, ശുദ്ധജലത്തില്‍ കുതിര്‍ക്കാനിടുക. അടുത്ത ദിവസങ്ങളില്‍ എടുക്കുന്ന വെള്ളത്തില്‍ 15-30 മിനിട്ട് തിളപ്പിച്ച ശേഷം അധികജലം പുറത്തൊഴിഞ്ഞതിനു ശേഷം, ഉപയോഗിക്കാന്‍ തയ്യാറാക്കാം."
ചിപ്പിക്കൂണ്‍ കൃഷിയുടേതായ സ്‌പോ എങ്ങനെ വിതരണമുള്ളൂ?,"പോളിതീന്‍ കവറുകളുടെ അടിഭാഗത്ത്, 10 സെ. മീ. പൊക്കത്തിൽ വൈക്കോല്‍ കഷണങ്ങളോ ചുരുകളോ വച്ച്, മുകളിൽ അല്പം സ്‌പോ വിതറുക. തുടർന്ന്, പുതിയ വൈക്കോല്‍ അട്ടിവച്ച് കവറിനെ പൂർണ്ണമായി അടച്ചു വയ്ക്കുക."
ചിപ്പിക്കൂണ്‍ കൃഷിയിൽ സ്‌പോ വളര്‍ച്ച എത്ര ദിവസം കൊണ്ട് കാണാമെന്നു?,"സ്‌പോ വളര്‍ച്ച 10-15 ദിവസത്തിനകം വളരുന്നതിനുള്ള തിരക്കിന് ആവശ്യമായ സമയമാണ്. അതിനുശേഷം, കൂണിന്റെ വളർച്ച വെളുത്ത പൂപ്പു പോലെ പടരുകയും, എങ്കിൽ കവറുകൾ തുറന്ന്, അത് മാറ്റിയെടുക്കണം."
ചിപ്പിക്കൂണ്‍ കൃഷിയുടെയൂള്ള കൂണുകൾ എങ്ങനെ സൂക്ഷിക്കാമെന്ന്?,"പറിച്ചെടുത്ത കൂണ്‍ ഒന്നര-दിവസത്തിനകം ഉപയോഗിക്കുന്നതാണ്. റഫ്രിജറേറ്റർ അല്ലെങ്കിൽ ഫ്രീസർ ഉപയോഗിച്ച്, കട്ടികുറഞ്ഞ പോളിത്തീന്‍ കവറുകളിലായി 5-6 ദിവസത്തേക്ക് സൂക്ഷിക്കാവുന്നതാണ്."
ചിപ്പിക്കൂണ്‍ കൃഷിയുടെ ഉല്പാദനച്ചെലവ് എത്ര?,ചിപ്പിക്കൂണ്‍ കൃഷിയുടെ ഉല്പാദനച്ചെലവ് 15 മുതൽ 20 രൂപ വരെ ആകും.
കറവപ്പശുക്കളുടെ തീറ്റക്രമം എന്താണ്?,കറവപ്പശുക്കളുടെ ഓരോ 3 കിലോ പാലിനും 1 കിലോ തീറ്റ നല്‍കണം.
ഗർഭിണി കറവപ്പശുക്കൾക്ക് എത്ര അധികം തീറ്റ നൽകണം?,"ഗർഭിണി കറവപ്പശുക്കൾക്ക്, സാധാരണ തീറ്റയുടെ അളവിനുപുറമേ, 6 മാസം മുതൽ 1 കിലോ കൂടുതൽ തീറ്റ നൽകണം."
പശുക്കളുടെ ശരീരഭാരത്തിന്റെ അടിസ്ഥാനത്തിൽ എന്താണ് അധികതീറ്റ്?,"കൂടുതലായുള്ള ഓരോ 50 കിലോ ശരീരഭാരത്തിനും 25 ഗ്രാം ഖരാഹാരവും, 1/2 കിലോ മുതൽ 1 കിലോ വരെ വൈക്കോലും (അല്ലെങ്കിൽ 3-5 കിലോ പച്ചപ്പുല്ല്) നല്‍കണം."
പശുക്കൾക്ക് പച്ചപ്പുല്ല് എത്ര പ്രാവശ്യം നൽകണം?,പച്ചപ്പുല്ല് ദിവസത്തിൽ 3-4 പ്രാവശ്യം നൽകേണ്ടതാണ്.
പശുക്കളുടെ നഷ്ടപ്പെട്ട പുല്ലിന് എത്ര ശതമാനം എടുക്കാം?,സാധാരണയായി കൊടുക്കുന്ന പുല്ലിന്റെ 5-10 ശതമാനം പശുക്കൾ നഷ്ടപ്പെടുത്തി കഴിയുന്നുവെന്ന് കണക്കാക്കാം.
കന്നിക്കുട്ടിക്ക് പുഷ്ടികരമായ തീറ്റ എങ്ങനെയാണ് തയ്യാറാക്കുന്നത്?,"കന്നിക്കുട്ടിക്ക് കാഫ് സ്റ്റാർട്ടർ എന്ന പ്രത്യേക തീറ്റ നൽകാം, അതിന് 32 കിലോ പിണ്ണാക്ക്, 15 കിലോ ഉണക്കക്കപ്പ, 10 കിലോ ഗോതമ്പുതവിട്, 25 കിലോ മഞ്ഞച്ചോളം, 10 കിലോ ഉണക്കമത്സ്യം, 6 കിലോ ശർക്കരചണ്ടി, 2 കിലോ ധാതുലവണങ്ങൾ, കൂടാതെ വിറ്റാമിനുകൾ ചേർക്കണം."
100 കിലോ കാഫ് സ്റ്റാർട്ടർ ഉണ്ടാക്കാൻ എത്ര പിണ്ണാക്ക് വേണം?,100 കിലോ കാഫ് സ്റ്റാർട്ടർ ഉണ്ടാക്കാൻ 32 കിലോ പിണ്ണാക്ക് വേണം.
എരുമയ്ക്കുള്ള തീറ്റയുമായി ബന്ധപ്പെട്ട ചേരുവകൾ ഏതെല്ലാം?,"എരുമയ്ക്കുള്ള തീറ്റയ്ക്ക് 30 കിലോ കടലപ്പിണ്ണാക്ക്, 20 കിലോ പരുത്തിക്കുരുപിണ്ണാക്ക്, 21 കിലോ തവിട്, 10 കിലോ എള്ളിൻ പിണ്ണാക്ക്, 15 കിലോ ഉണക്കക്കപ്പ, 2 കിലോ ധാതുമിശ്രിതം, 1 കിലോ ഉപ്പ്, 1 കിലോ മീനെണ്ണ എന്നിവ ആവശ്യമാണ്."
400 കിലോ എരുമയ്ക്ക് എത്ര തീറ്റയും വൈക്കോലും കൊടുക്കണം?,400 കിലോ ശരീരഭാരമുള്ള എരുമയ്ക്ക് 2 കിലോ തീറ്റയും 8-10 കിലോ വൈക്കോലും 3-5 കിലോ പച്ചപ്പുല്ലും നൽകണം.
എരുമയുടെ പാൽ ഉല്പാദനത്തിന് എത്ര അധികതീറ്റ് നൽകണം?,6 കിലോ പാൽ ഉല്പാദനത്തിന് 2.5 കിലോ തീറ്റയും അധികം നൽകണം.
കറവപ്പശുക്കൾക്ക് പതിവായി എത്ര തീയറ്റ് നൽകേണ്ടതാണ്?,പടിവായി 3 കിലോ പാലിനും 1 കിലോ തീറ്റ നൽകേണ്ടതാണ്.
പശുക്കളുടെ പര്യവേഷണ കാലത്ത് എത്ര ഭക്ഷണത്തിന് അനുകൂലമാണ്?,"കർഷകന്റെ പര്യവേഷണ സമയത്ത്, ഗർഭിണി കറവപ്പശുക്കളെ 6 മാസം മുതൽ 1 കിലോ കൂടുതൽ തീറ്റ നൽകണം."
പച്ചപ്പുല്ല് കന്നിക്കുട്ടികൾക്ക് എത്ര സമയം നൽകണം?,പച്ചപ്പുല്ല് 3-4 പ്രാവശ്യം കന്നിക്കുട്ടികൾക്ക് നൽകണം.
കട്ടിയുള്ള പോളിത്തീന്‍ കവറുകള്‍ എവിടെ ഉപയോഗിക്കണം?,കട്ടിയുള്ള പോളിത്തീന്‍ കവറുകള്‍ പച്ചപ്പുല്ല് സൂക്ഷിക്കുന്നതിന് ഉപയോഗിക്കാവുന്നതാണ്.
കന്നിക്കുട്ടിക്ക് എത്ര കാപ്പി സ്റ്റാർട്ടർ നൽകേണ്ടതാണ്?,കന്നിക്കുട്ടിക്ക് 100 കി. ഗ്രാം കാഫ് സ്റ്റാർട്ടർ നൽകേണ്ടതാണ്.
പ്രായപൂർത്തിയുള്ള എരുമയ്ക്ക് എത്ര മീനെണ്ണ വേണം?,എരുമയ്ക്ക് 1 കിലോ മീനെണ്ണ നൽകണം.
പശുക്കൾക്ക് വേറെ എത്ര ഗുണമായ ഭക്ഷണം നൽകണം?,"പശുക്കൾക്ക് 50 കിലോ ശരീരഭാരത്തിന് 25 ഗ്രാം കഠിനാഹാരം, 1/2 കിലോ മുതൽ 1 കിലോ വരെ വൈക്കോലും പച്ചപ്പുല്ല് 3-5 കിലോ നൽകണം."
പശുക്കളെ കാപ്പി സ്റ്റാർട്ടറിന് എങ്ങനെ നൽകണം?,"കാപ്പി സ്റ്റാർട്ടർ 32 കിലോ പിണ്ണാക്ക്, 15 കിലോ ഉണക്കക്കപ്പ, 10 കിലോ ഗോതമ്പുതവിട്, 25 കിലോ മഞ്ഞച്ചോളം, 10 കിലോ ഉണക്കമത്സ്യം, 6 കിലോ ശർക്കരചണ്ടി, 2 കിലോ ധാതുലവണങ്ങൾ ചേർക്കുമ്പോൾ നൽകാം."
കറവപ്പശുക്കളുടെ പ്രസ്താവനാനുസൃത ഊഷ്മാക്കാലഘട്ടത്തിന് എത്ര ഫീഡ് ആവശ്യമുള്ളതാണ്?,കറവപ്പശുക്കളുടെ 3 കിലോ പാലിനും 1 കിലോ തീറ്റ ആവശ്യമാണ്.
പശുക്കളുടെ വളര്‍ച്ചയുടെ അന്തിമ പരീക്ഷണത്തിനായി എത്ര ചേരുവകളും ആവശ്യമാണ്?,സാധാരണ രചന ആവശ്യമായി 50 കിലോ ഉൾപ്പെടുന്നു.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര കടലപ്പിണ്ണാക്ക് വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 22 കിലോ കടലപ്പിണ്ണാക്ക് വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര എള്ളിൻ പിണ്ണാക്ക് വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 10 കിലോ എള്ളിൻ പിണ്ണാക്ക് വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര പരുത്തിക്കുരു പിണ്ണാക്ക് വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 5 കിലോ പരുത്തിക്കുരു പിണ്ണാക്ക് വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര അരിതവിട് വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 25 കിലോ അരിതവിട് വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര ഗോതമ്പുതവിട് വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 20 കിലോ ഗോതമ്പുതവിട് വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര ഉണക്കക്കപ്പ വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 15 കിലോ ഉണക്കക്കപ്പ വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര ഉപ്പ് വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 1 കിലോ ഉപ്പ് വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര ധാതുലവണങ്ങൾ വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 2 കിലോ ധാതുലവണങ്ങൾ വേണം.
ആടിന് എന്ത് ആഹാരവസ്തു കൂട്ടത്തിൽ നൽകണം?,ആടിന് 3-5 കിലോ പച്ചിലയും ശുദ്ധജലവും ആവശ്യാനുസരണം നൽകണം.
ആടിന്റെ ഓരോ 1/2 കിലോ തീറ്റയ്ക്ക് എത്ര പച്ചിലയും വേണം?,ഓരോ 1/2 കിലോ തീറ്റയ്ക്ക് 3-5 കിലോ പച്ചിലയും നൽകണം.
ആടിന് നൽകുന്ന തീറ്റയിൽ പച്ചിലയുടെ പങ്ക് എത്ര?,ആടിന് 3-5 കിലോ പച്ചിലയും 1/2 കിലോ തീറ്റ കൂടിയാണ് നൽകേണ്ടത്.
ആടിന് 100 കിലോ തീറ്റ നൽകുമ്പോൾ എത്ര ജലവും നൽകണം?,ആടിന് ആവശ്യാനുസരണം ശുദ്ധജലം നൽകണം.
ആടിന് 100 കിലോ തീറ്റ ഉപയോഗിക്കുമ്പോൾ എത്ര കടലപ്പിണ്ണാക്ക് ആവശ്യമാണ്?,100 കിലോ തീറ്റയുടെ 22 കിലോ കടലപ്പിണ്ണാക്ക് വേണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര പല്ലി ഉണക്കക്കപ്പ വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 15 കിലോ ഉണക്കക്കപ്പ വേണം.
ആടിന് 100 കിലോ തീറ്റ നൽകുമ്പോൾ എത്ര എള്ളിന്റെ പിണ്ണാക്ക് ചേർക്കണം?,100 കിലോ തീറ്റയിൽ 10 കിലോ എള്ളിന്റെ പിണ്ണാക്ക് ചേർക്കണം.
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ എത്ര പരുത്തിക്കുരു പിണ്ണാക്ക് വേണം?,100 കിലോ തീറ്റ ഉണ്ടാക്കാൻ 5 കിലോ പരുത്തിക്കുരു പിണ്ണാക്ക് വേണം.
ആടിന്റെ തീറ്റ മിശ്രിതത്തിൽ എത്ര ഗോധം കൊണ്ടാൽ പകുതിയാകുന്നു?,ആടിന്റെ 100 കിലോ തീറ്റ നിർമ്മിക്കാൻ 20 കിലോ ഗോതമ്പുതവിട് വേണം.
ആടിന് 100 കിലോ തീറ്റ നൽകുമ്പോൾ എത്ര അരിതവിട് വേണം?,100 കിലോ തീറ്റയുടെ 25 കിലോ അരിതവിട് വേണം.
ആടിന്റെ തീറ്റയ്ക്കുള്ള ഘടകങ്ങളുടെയും അളവുകൾ എന്തൊക്കെ?,"ആടിന്റെ 100 കിലോ തീറ്റക്കുള്ള ഘടകങ്ങൾ: 22 കിലോ കടലപ്പിണ്ണാക്ക്, 10 കിലോ എള്ളിൻ പിണ്ണാക്ക്, 5 കിലോ പരുത്തിക്കുരു പിണ്ണാക്ക്, 25 കിലോ അരിതവിട്, 20 കിലോ ഗോതമ്പുതവിട്, 15 കിലോ ഉണക്കക്കപ്പ, 1 കിലോ ഉപ്പ്, 2 കിലോ ധാതുലവണങ്ങൾ."
ആടിന് 100 കിലോ തീറ്റ ഉണ്ടാക്കുന്നവയ്ക്ക് എന്തെങ്കിലും പ്രത്യേക സജ്ജീകരണങ്ങൾ ആവശ്യമായിരിക്കുക?,ആടിന്റെ തീറ്റ നിർമ്മിക്കുന്നതിന്റെ ഭാഗമായി പച്ചിലയും ശുദ്ധജലവും ക്രമീകരിക്കണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര മഞ്ഞച്ചോളം വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 40% മഞ്ഞച്ചോളം വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര ഉണക്കമല്‍സ്യം വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 15% ഉണക്കമല്‍സ്യം വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര കടലപിണ്ണാക്ക് വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 25% കടലപിണ്ണാക്ക് വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര ഗോതമ്പുതവിട് വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 17% ഗോതമ്പുതവിട് വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര പഞ്ചാസാര വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 4% പഞ്ചാസാര വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര മൃഗക്കൊഴുപ്പ് വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 4% മൃഗക്കൊഴുപ്പ് വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര പാല്‍പ്പൊടി വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 10% പാല്‍പ്പൊടി വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര ധാതുമിശ്രിതം വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 2% ധാതുമിശ്രിതം വേണം.
പന്നിയ്ക്ക് 5 കിലോ ഭാരം വരെ ഉള്ള ഭക്ഷണത്തിന് എത്ര വിറ്റാമിന്‍ മിശ്രണം വേണം?,5 കിലോ ഭാരം വരെ ഉള്ള പന്നിയ്ക്ക് 20 ഗ്രാം വിറ്റാമിന്‍ മിശ്രണം വേണം.
പന്നിയ്ക്ക് 100 - 200 ഗ്രാം ഭക്ഷണം നൽകുമ്പോൾ എത്ര കി.ഗ്രാം എടുക്കണം?,100 - 200 ഗ്രാം ആഹാരം നൽകുമ്പോൾ 5 കിലോ പന്നിക്ക് 100-200 ഗ്രാം തീറ്റ.
പന്നിയ്ക്ക് 200 - 600 ഗ്രാം ഭക്ഷണം നൽകുമ്പോൾ എത്ര കി.ഗ്രാം എടുക്കണം?,200 - 600 ഗ്രാം ആഹാരം നൽകുമ്പോൾ 10 കിലോ പന്നിക്ക് 200-600 ഗ്രാം.
പന്നിയ്ക്ക് 600 ഗ്രാം മുതൽ 2 കിലോ വരെ തീറ്റ നൽകുമ്പോൾ എത്ര കി.ഗ്രാം എടുക്കണം?,600 ഗ്രാം മുതൽ 2 കിലോ വരെ ആഹാരം നൽകുമ്പോൾ 20 കിലോ പന്നിക്ക് 600 ഗ്രാം മുതൽ 2 കിലോ.
പന്നിയ്ക്ക് 2-3 കിലോ ഗ്രാം തീറ്റ എടുക്കുമ്പോൾ എത്ര ആഹാരം വേണം?,2-3 കിലോ ഗ്രാം തീറ്റ നൽകുമ്പോൾ 80 കിലോ പന്നിക്ക് 2-3 കിലോ.
പന്നിയ്ക്ക് 1080 കിലോ ഭാരം വരുന്നുവെങ്കിൽ എത്ര മഞ്ഞച്ചോളം ആവശ്യമാണ്?,1080 കിലോ ഭാരം ഉള്ള പന്നിയ്ക്ക് 53% മഞ്ഞച്ചോളം ആവശ്യമാണ്.
പന്നിയ്ക്ക് 1080 കിലോ ഭാരം വരുന്നുവെങ്കിൽ എത്ര ഉണക്കമല്‍സ്യം ആവശ്യമാണ്?,1080 കിലോ ഭാരം ഉള്ള പന്നിയ്ക്ക് 13% ഉണക്കമല്‍സ്യം ആവശ്യമാണ്.
പന്നിയ്ക്ക് 1080 കിലോ ഭാരം വരുന്നുവെങ്കിൽ എത്ര കടലപിണ്ണാക്ക് ആവശ്യമാണ്?,1080 കിലോ ഭാരം ഉള്ള പന്നിയ്ക്ക് 16% കടലപിണ്ണാക്ക് ആവശ്യമാണ്.
പന്നിയ്ക്ക് 1080 കിലോ ഭാരം വരുന്നുവെങ്കിൽ എത്ര ഗോതമ്പുതവിട് ആവശ്യമാണ്?,1080 കിലോ ഭാരം ഉള്ള പന്നിയ്ക്ക് 17% ഗോതമ്പുതവിട് ആവശ്യമാണ്.
പന്നിയ്ക്ക് 1080 കിലോ ഭാരം വരുന്നുവെങ്കിൽ എത്ര പഞ്ചാസാര ആവശ്യമാണ്?,1080 കിലോ ഭാരം ഉള്ള പന്നിയ്ക്ക് 4% പഞ്ചാസാര ആവശ്യമാണ്.
പന്നിയ്ക്ക് 1080 കിലോ ഭാരം വരുന്നുവെങ്കിൽ എത്ര മൃഗക്കൊഴുപ്പ് ആവശ്യമാണ്?,1080 കിലോ ഭാരം ഉള്ള പന്നിയ്ക്ക് 4% മൃഗക്കൊഴുപ്പ് ആവശ്യമാണ്.
പന്നിയ്ക്ക് 1080 കിലോ ഭാരം വരുന്നുവെങ്കിൽ എത്ര പാല്‍പ്പൊടി ആവശ്യമാണ്?,1080 കിലോ ഭാരം ഉള്ള പന്നിയ്ക്ക് 10% പാല്‍പ്പൊടി ആവശ്യമാണ്.
മുയല്‍ എത്ര കാലയളവിൽ 2.5 കിലോ ഭാരത്തിൽ എത്തിച്ചേരും?,10 മുതൽ 12 ആഴ്ചക്കുള്ളിൽ മുയല്‍ 2.5 കിലോ ഭാരത്തിൽ എത്തിച്ചേരും.
മുയലിന് പ്രായപൂര്‍ത്തിയായതായി കണക്കാക്കുന്നതെന്താണ്?,പ്രായപൂര്‍ത്തിയായ മുയല്‍ 4 മുതൽ 5 കിലോ വരെയുള്ള ഭാരത്തിൽ എത്തിച്ചേരും.
മുയലിന്റെ ഭക്ഷണ ചെലവ് എത്ര?,മുയലിന്റെ ഭക്ഷണ ചെലവ് 20 രൂപയുടെ आसपास കൂടുമെന്ന് പ്രതീക്ഷിക്കാം.
മുയല്‍ ഇളവിൽ വളരുന്ന ഏറ്റവും മികച്ച വ്യത്യാസം?,"മുയല്‍ വർഗ്ഗങ്ങൾ ആയ ന്യൂസിലണ്ട് വൈറ്റ്, ഗ്രേ ജയന്റ്, വൈറ്റ്ജയന്റ്, സോവിയറ്റ് ചിഞ്ചില എന്നിവയെപ്പോലുള്ള ഇളവുകൾ കേരളത്തിൽ വളര്‍ത്തപ്പെടുന്നു."
പ്രധാനമായുള്ള മുയലിന്റെ ഭക്ഷണത്തെന്താണ്?,"നല്ലയിനം പുല്ല്, ഇലകൾ, കളകൾ, ഉണങ്ങിയ പുല്ല്, പച്ചക്കറി അവശിഷ്ടങ്ങൾ, കിഴങ്ങുകൾ, ചക്ക, ചക്കമടൽ, പഴത്തൊലി എന്നിവ."
മുയലിന് എത്ര ആഹാരം ആവശ്യമാണ്?,"മുയലിന് 3 മുതൽ 6 ആഴ്ച പ്രായത്തിൽ 10-20 ഗ്രാം, 7-12 ആഴ്ച 20-80 ഗ്രാം, 12-24 ആഴ്ച 80-100 ഗ്രാം, 24 ആഴ്ച കഴിഞ്ഞാൽ 100-120 ഗ്രാം വരെ ആവശ്യമാണ്."
മുയലിന്റെ പ്രജനനകാലം എത്ര?,മുയലിന്റെ ഗർഭകാലം 28-35 ദിവസം ആണ്.
മുയലിന്റെ കുഞ്ഞുങ്ങളുടെ പ്രായം എത്ര?,മുയല്‍ കുഞ്ഞുങ്ങൾ 21 ദിവസത്തെ പ്രായത്തിൽ ഖരാഹാരം കഴിക്കാൻ ആരംഭിക്കും.
മുയലിന്റെ കുഞ്ഞുങ്ങളുടെ ഭക്ഷണ അളവുകൾ എന്താണ്?,"3-6 ആഴ്ച 10-20 ഗ്രാം, 7-12 ആഴ്ച 20-80 ഗ്രാം, 12-24 ആഴ്ച 80-100 ഗ്രാം, 24 ആഴ്ച കഴിഞ്ഞാൽ 100-120 ഗ്രാം."
പ്രസവിച്ച കുഞ്ഞുങ്ങളുടെ കണ്ണുകൾ എപ്പോഴാണ് തുറക്കുന്നത്?,പ്രസവിച്ച കുഞ്ഞുങ്ങളുടെ കണ്ണുകൾ 10 ദിവസത്തിൽ തുറക്കുന്നു.
മുയലിന്റെ ശരീരത്തിൽ രോമങ്ങൾ എപ്പോഴാണ് വളരുന്നത്?,മുയലിന്റെ ശരീരത്തിൽ രോമങ്ങൾ 14 ദിവസത്തിൽ വളരുന്നു.
പെണ്‍ മുയലിന്റെ പ്രജനന സമയം എപ്പോഴാണ്?,പെണ്‍ മുയല്‍ വർഷംതോറും പ്രജനനക്ഷമത പ്രകടിപ്പിക്കുന്നു.
മുയലിന്റെ പ്രജനനത്തിനുള്ള പ്രായം എത്ര?,പെണ്‍ മുയല്‍ 6 മാസം പ്രായം കഴിഞ്ഞാൽ പ്രജനനത്തിനായി ഉപയോഗിക്കാം.
കുഞ്ഞുങ്ങളെ ജനിപ്പിക്കുന്നതിനുള്ള പ്രായം എത്ര?,പെണ്‍ മുയല്‍ 30-32 ദിവസങ്ങളിൽ പ്രസവിക്കുന്നു.
മുയലിന്റെ കശാപ്പ് ചെയ്യുമ്പോൾ എത്ര ഇരച്ചിയും ലഭിക്കും?,മുയല്‍ കശാപ്പ് ചെയ്താൽ 60% ഇരച്ചിയും ലഭിക്കും.
